"","uid","block1answer","block3answer","block2answer","block0answer","interventionQuizAnswer","interventionReadingTime"
"1","subREX_2",65,69,67,65,"C",24.63115
"2","subREX_3",5,5,5,51,"B",34.9936833333333
"3","subREX_4",60,63,60,59,"C",17.20925
"4","subREX_5",45,55,50,45,"C",36.2160166666667
"5","subREX_6",35,47,45,50,"C",19.4654166666667
"6","subREX_8",55,65,60,50,"C",17.05385
"7","subREX_11",65,69,67,65,"C",20.1935333333333
"8","subREX_12",30,60,50,65,"C",19.1269
"9","subREX_13",57,50,50,60,"C",42.2689166666667
"10","subREX_16",55,35,35,55,"C",20.54585
"11","subREX_18",55,55,53,55,"C",16.9323
"12","subREX_21",65,7,11,30,"C",15.02925
"13","subREX_22",60,60,55,50,"C",19.60955
"14","subREX_23",50,55,55,56,"C",16.0969666666667
"15","subREX_26",65,69,67,65,"C",33.6339333333333
"16","subREX_27",60,69,65,43,"C",21.3922833333333
"17","subREX_29",65,69,67,65,"C",19.1993333333333
"18","subREX_30",55,58,56,55,"C",16.8538333333333
"19","subREX_31",16,18,19,11,"C",16.0838833333333
"20","subREX_37",57,64,60,56,"C",19.5126666666667
"21","subREX_38",60,55,50,61,"C",17.3577666666667
"22","subREX_40",65,69,67,65,"C",50.3734833333333
"23","subREX_41",60,66,62,55,"C",17.9294666666667
"24","subREX_43",40,20,50,30,"C",14.8234666666667
"25","subREX_50",50,60,55,45,"C",65.7308833333333
"26","subREX_51",55,57,55,55,"C",20.0058833333333
"27","subREX_57",65,69,67,65,"C",18.95405
"28","subREX_58",65,69,67,65,"C",17.9457666666667
"29","subREX_60",33,37,38,44,"C",25.18905
"30","subREX_62",42,69,39,55,"C",26.5356333333333
"31","subREX_64",35,31,35,40,"C",19.3066166666667
"32","subREX_65",27,54,40,48,"C",14.71045
"33","subREX_66",50,50,50,55,"C",26.1049333333333
"34","subREX_67",50,60,45,55,"C",26.6937
"35","subREX_70",50,20,67,50,"C",26.0013166666667
"36","subREX_71",34,45,42,55,"C",21.15905
"37","subREX_72",38,45,40,30,"C",19.5636666666667
"38","subREX_73",65,69,67,65,"C",21.79215
"39","subREX_75",65,69,67,65,"C",22.4939166666667
"40","subREX_76",65,69,63,50,"C",18.1154333333333
"41","subREX_77",56,53,54,50,"C",18.8704
"42","subREX_78",51,53,52,51,"C",17.7041833333333
"43","subREX_80",64,69,67,65,"C",22.60285
"44","subREX_81",65,69,67,65,"C",26.3624
"45","subREX_82",65,67,65,65,"C",31.8457333333333
"46","subREX_84",65,69,67,65,"C",16.74425
"47","subREX_88",33,38,36,32,"C",18.1780166666667
"48","subREX_90",54,69,60,50,"C",20.7988166666667
"49","subREX_93",24,14,61,43,"C",15.9442166666667
"50","subREX_94",60,59,63,55,"C",17.6846333333333
"51","subREX_95",52,59,54,50,"C",19.2509666666667
"52","subREX_96",65,69,67,50,"C",17.8615666666667
"53","subREX_98",50,50,50,50,"C",36.3529833333333
"54","subREX_100",65,69,67,65,"C",17.4136333333333
"55","subREX_101",10,1,30,50,"C",17.8914833333333
"56","subREX_103",38,33,39,40,"C",21.8359833333333
"57","subREX_104",45,50,45,50,"C",25.6898666666667
"58","subREX_106",25,35,30,30,"C",17.3293666666667
"59","subREX_107",40,40,35,40,"C",18.71025
"60","subREX_108",50,52,50,40,"C",61.23355
"61","subREX_115",65,69,67,65,"C",19.0294833333333
"62","subREX_117",40,54,43,50,"C",19.8978333333333
"63","subREX_119",42,46,45,44,"C",20.6807833333333
"64","subREX_124",43,53,50,37,"C",19.7162
"65","subREX_127",32,22,30,50,"C",22.2497833333333
"66","subREX_131",41,55,40,40,"C",24.14485
"67","subREX_134",65,69,67,65,"C",23.29205
"68","subREX_137",65,68,67,60,"C",22.2847333333333
"69","subREX_139",40,43,42,50,"C",18.5927666666667
"70","subREX_140",40,45,40,40,"C",18.1418833333333
"71","subREX_143",65,69,67,65,"C",16.0176333333333
"72","subREX_145",65,69,67,65,"C",26.5628166666667
"73","subREX_146",50,53,52,53,"C",19.56715
"74","subREX_151",45,49,45,40,"C",15.9612
"75","subREX_152",52,52,54,52,"C",22.40365
"76","subREX_153",65,69,67,65,"C",27.1268
"77","subREX_154",58,61,58,58,"C",21.3731
"78","subREX_155",55,53,50,52,"C",20.49885
"79","subREX_156",51,60,55,50,"C",19.7046166666667
"80","subREX_157",65,69,67,65,"C",42.1292333333333
"81","subREX_158",45,55,48,45,"C",17.0955666666667
"82","subREX_161",65,52,50,50,"C",19.1955166666667
"83","subREX_163",31,34,35,35,"C",23.2881833333333
"84","subREX_167",5,69,67,65,"C",18.1156833333333
"85","subREX_170",65,69,67,65,"C",26.4564666666667
"86","subREX_171",29,44,35,26,"C",19.1174166666667
"87","subREX_172",51,53,52,50,"C",18.0377166666667
"88","subREX_174",60,69,67,55,"C",53.2879
"89","subREX_178",59,62,60,58,"C",33.1211166666667
"90","subREX_179",65,69,67,65,"C",25.8082333333333
"91","subREX_181",65,69,67,65,"C",18.0008666666667
"92","subREX_182",55,60,55,55,"C",21.85475
"93","subREX_183",65,69,67,65,"C",19.2277833333333
"94","subREX_185",65,69,67,64,"C",20.73845
"95","subREX_186",40,56,51,23,"C",20.0893166666667
"96","subREX_187",65,69,67,65,"C",10.6787833333333
"97","subREX_188",65,69,67,65,"C",26.6885166666667
"98","subREX_190",45,45,50,40,"C",28.0633833333333
"99","subREX_191",65,69,67,65,"C",21.7644166666667
